,Titre,Artiste,Peak,Peak date,Weeks intop ten
5,finesse,bruno-mars-and-cardi-b,3.0,January 20,14
6,filthy,justin-timberlake,9.0,January 20,1
7,new-rules,dua-lipa,6.0,February 17,5
8,gods-plan,drake,1.0,February 3,26
9,diplomatic-immunity,drake,7.0,February 3,1
11,pray-for-me,the-weeknd-and-kendrick-lamar,7.0,February 17,6
12,stir-fry,migos,8.0,February 17,4
15,all-the-stars,kendrick-lamar-and-sza,7.0,March 3,4
17,the-middle,zedd-maren-morris-and-grey,5.0,April 28,16
18,sad,xxxtentacion,1.0,June 30,6
20,call-out-my-name,the-weeknd,4.0,April 14,1
22,nice-for-what,drake,1.0,April 21,17
23,i-like-it,cardi-b-bad-bunny-and-j-balvin,1.0,July 7,21
24,chun-li,nicki-minaj,10.0,April 28,1
25,no-tears-left-to-cry,ariana-grande,3.0,May 5,12
26,atm,j-cole,6.0,May 5,1
27,kevins-heart,j-cole,8.0,May 5,1
28,kod,j-cole,10.0,May 5,1
29,never-be-the-same,camila-cabello,6.0,May 12,3
30,better-now,post-malone,3.0,October 6,18
31,this-is-america,childish-gambino,1.0,May 19,5
32,yes-indeed,lil-baby-and-drake,6.0,June 2,2
33,bood-up,ella-mai,5.0,July 21,12
34,fake-love,bts,10.0,June 2,1
36,yikes,kanye-west,8.0,June 16,1
37,lucid-dreams,juice-wrld,2.0,October 6,24
38,nonstop,drake,2.0,July 14,1
39,in-my-feelings,drake,1.0,July 21,14
40,im-upset,drake,7.0,July 14,1
41,emotionless,drake,8.0,July 14,1
46,sicko-mode,travis-scott,2.0,November 3,16
47,stargazing,travis-scott,8.0,August 18,1
48,god-is-a-woman,ariana-grande,8.0,September 1,2
49,love-lies,khalid-and-normani,9.0,September 8,3
51,the-ringer,eminem,8.0,September 15,1
52,i-love-it,kanye-west-and-lil-pump,6.0,September 22,3
53,killshot,eminem,3.0,September 29,2
54,youngblood,5-seconds-of-summer,7.0,October 20,7
57,uproar,lil-wayne,7.0,October 13,1
59,drip-too-hard,lil-baby-and-gunna,4.0,October 20,7
60,shallow,lady-gaga-and-bradley-cooper,5.0,October 20,2
61,happier,marshmello-and-bastille,3.0,October 20,7
64,sunflower,post-malone-and-swae-lee,9.0,November 3,1
65,without-me,halsey,4.0,November 24,4
66,mo-bamba,sheck-wes,7.0,November 24,4
67,thank-u-next,ariana-grande,1.0,November 17,3
68,high-hopes,panic-at-the-disco,6.0,December 1,2
10,say-something,justin-timberlake,9.0,February 10,1
13,meant-to-be,bebe-rexha,2.0,March 31,19
14,look-alive,blocboy-jb,5.0,March 3,13
16,psycho,post-malone,1.0,June 16,21
19,freaky-friday,lil-dicky,8.0,April 7,5
21,walk-it-talk-it,migos,10.0,April 14,1
35,girls-like-you,maroon-5,1.0,September 29,25
42,dont-matter-to-me,drake,9.0,July 14,1
43,fefe,6ix9ine,3.0,August 11,11
44,taste,tyga,8.0,August 25,8
45,no-brainer,dj-khaled,5.0,August 11,2
50,lucky-you,eminem,6.0,September 15,1
55,mona-lisa,lil-wayne,2.0,October 13,1
56,dont-cry,lil-wayne,5.0,October 13,1
58,let-it-fly,lil-wayne,10.0,October 13,1
62,zeze,kodak-black,2.0,October 27,6
63,mia,bad-bunny,5.0,October 27,1
